AB	Region Stockholm
C	Region Uppsala
D	Region Sörmland
E	Region Östergötland
F	Region Jönköping län
G	Region Kronoberg
H	Region Kalmar län
I	Region Gotland
K	Region Blekinge
M	Region Skåne
N	Region Halland
O	Region Västra Götaland
S	Region Värmland
T	Region Örebro län
U	Region Västmanland
W	Region Dalarna
X	Region Gävleborg
Y	Region Västernorrland
Z	Region Jämtland Härjedalen
AC	Region Västerbotten
BD	Region Norrbotten
